==============================================================================
DIRECTED-CONSTRUCTION CONTROL — btc_alt_spillover_v1
==============================================================================
  alt              : ETHUSDT (1,461 bars) from /home/claude/work/repo/data/real_multi_1d
  BTC driver       : BTCUSD (3,134 bars used, 1 excluded: 2025-01-07)
  surrogates       : 1000
  rotations each   : 1500
  barrier          : +3/-1.5 ATR, horizon 5, 25 bps, entry next_open

Whole alt bars are shuffled and re-based; the DATES and the BTC
driver are untouched, so the signal fires on the same calendar days.
On a series with no temporal structure there is nothing to time, so
a correct instrument must report percentiles uniform on [0, 100].

  surrogate 1: percentile 100.0  (124 trades)
  surrogate 584: percentile  29.3  (124 trades)
  surrogate 585: percentile  74.3  (124 trades)
  surrogate 586: percentile  59.7  (124 trades)
  surrogate 587: percentile  47.3  (124 trades)
  surrogate 588: percentile  45.6  (124 trades)
  surrogate 589: percentile  16.5  (124 trades)
  surrogate 590: percentile  42.2  (124 trades)
  surrogate 591: percentile  72.4  (124 trades)
  surrogate 592: percentile  11.3  (124 trades)
  surrogate 593: percentile  84.3  (124 trades)
  surrogate 594: percentile  85.0  (124 trades)
  surrogate 595: percentile  51.6  (124 trades)
  surrogate 596: percentile  14.6  (124 trades)
  surrogate 597: percentile  18.9  (124 trades)
  surrogate 598: percentile  61.5  (124 trades)
  surrogate 599: percentile  52.9  (124 trades)
  surrogate 600: percentile  19.6  (124 trades)
  surrogate 601: percentile  77.7  (124 trades)
  surrogate 602: percentile  95.8  (124 trades)
  surrogate 603: percentile  53.9  (124 trades)
  surrogate 604: percentile  16.1  (124 trades)
  surrogate 605: percentile  24.7  (124 trades)
  surrogate 606: percentile  65.6  (124 trades)
  surrogate 607: percentile  70.3  (124 trades)
  surrogate 608: percentile  56.0  (124 trades)
  surrogate 609: percentile  83.7  (124 trades)
  surrogate 610: percentile  25.5  (124 trades)
  surrogate 611: percentile  26.7  (124 trades)
  surrogate 612: percentile  99.1  (124 trades)
  surrogate 613: percentile  65.7  (124 trades)
  surrogate 614: percentile  47.3  (124 trades)
  surrogate 615: percentile  72.7  (124 trades)
  surrogate 616: percentile  76.1  (124 trades)
  surrogate 617: percentile  49.0  (124 trades)
  surrogate 618: percentile  87.9  (124 trades)
  surrogate 619: percentile  60.3  (124 trades)
  surrogate 620: percentile  38.1  (124 trades)
  surrogate 621: percentile  72.1  (124 trades)
  surrogate 622: percentile  79.3  (124 trades)
  surrogate 623: percentile  30.7  (124 trades)
  surrogate 624: percentile  97.9  (124 trades)
  surrogate 625: percentile   6.4  (124 trades)
  surrogate 626: percentile  96.5  (124 trades)
  surrogate 627: percentile  38.3  (124 trades)
  surrogate 628: percentile  99.5  (124 trades)
  surrogate 629: percentile  86.2  (124 trades)
  surrogate 630: percentile  71.2  (124 trades)
  surrogate 631: percentile   8.9  (124 trades)
  surrogate 632: percentile   4.2  (124 trades)
  surrogate 633: percentile  60.0  (124 trades)
  surrogate 634: percentile  63.6  (124 trades)
  surrogate 635: percentile  87.3  (124 trades)
  surrogate 636: percentile  24.9  (124 trades)
  surrogate 637: percentile  89.9  (124 trades)
  surrogate 638: percentile  58.6  (124 trades)
  surrogate 639: percentile  69.3  (124 trades)
  surrogate 640: percentile  66.0  (124 trades)
  surrogate 641: percentile  16.6  (124 trades)
  surrogate 642: percentile  24.0  (124 trades)
  surrogate 643: percentile   3.7  (124 trades)
  surrogate 644: percentile  29.9  (124 trades)
  surrogate 645: percentile  20.7  (124 trades)
  surrogate 646: percentile  78.1  (124 trades)
  surrogate 647: percentile   6.7  (124 trades)
  surrogate 648: percentile  95.5  (124 trades)
  surrogate 649: percentile  36.1  (124 trades)
  surrogate 650: percentile  73.5  (124 trades)
  surrogate 651: percentile  57.9  (124 trades)
  surrogate 652: percentile  27.3  (124 trades)
  surrogate 653: percentile  81.0  (124 trades)
  surrogate 654: percentile  95.8  (124 trades)
  surrogate 655: percentile   5.8  (124 trades)
  surrogate 656: percentile  32.1  (124 trades)
  surrogate 657: percentile  12.1  (124 trades)
  surrogate 658: percentile   1.2  (124 trades)
  surrogate 659: percentile  64.9  (124 trades)
  surrogate 660: percentile  44.5  (124 trades)
  surrogate 661: percentile  72.3  (124 trades)
  surrogate 662: percentile  27.1  (124 trades)
  surrogate 663: percentile  86.4  (124 trades)
  surrogate 664: percentile  18.7  (124 trades)
  surrogate 665: percentile  82.7  (124 trades)
  surrogate 666: percentile  78.5  (124 trades)
  surrogate 667: percentile  60.9  (124 trades)
  surrogate 668: percentile  42.9  (124 trades)
  surrogate 669: percentile  36.1  (124 trades)
  surrogate 670: percentile  53.8  (124 trades)
  surrogate 671: percentile  45.3  (124 trades)
  surrogate 672: percentile  69.5  (124 trades)
  surrogate 673: percentile  29.7  (124 trades)
  surrogate 674: percentile  84.0  (124 trades)
  surrogate 675: percentile  56.1  (124 trades)
  surrogate 676: percentile  27.3  (124 trades)
  surrogate 677: percentile  92.7  (124 trades)
  surrogate 678: percentile  97.9  (124 trades)
  surrogate 679: percentile  95.8  (124 trades)
  surrogate 680: percentile  63.1  (124 trades)
  surrogate 681: percentile  84.3  (124 trades)
  surrogate 682: percentile  83.5  (124 trades)
  surrogate 683: percentile  60.1  (124 trades)
  surrogate 684: percentile  52.7  (124 trades)
  surrogate 685: percentile  14.3  (124 trades)
  surrogate 686: percentile  92.9  (124 trades)
  surrogate 687: percentile  48.7  (124 trades)
  surrogate 688: percentile  25.3  (124 trades)
  surrogate 689: percentile  79.2  (124 trades)
  surrogate 690: percentile  59.7  (124 trades)
  surrogate 691: percentile   4.1  (124 trades)
  surrogate 692: percentile  27.1  (124 trades)
  surrogate 693: percentile  56.9  (124 trades)
  surrogate 694: percentile  11.5  (124 trades)
  surrogate 695: percentile  57.4  (124 trades)
  surrogate 696: percentile   4.2  (124 trades)
  surrogate 697: percentile  68.2  (124 trades)
  surrogate 698: percentile  62.5  (124 trades)
  surrogate 699: percentile  22.7  (124 trades)
  surrogate 700: percentile  78.5  (124 trades)
  surrogate 701: percentile  51.1  (124 trades)
  surrogate 702: percentile  79.5  (124 trades)
  surrogate 703: percentile  37.0  (124 trades)
  surrogate 704: percentile  53.5  (124 trades)
  surrogate 705: percentile  18.0  (124 trades)
  surrogate 706: percentile  35.1  (124 trades)
  surrogate 707: percentile  90.9  (124 trades)
  surrogate 708: percentile  37.7  (124 trades)
  surrogate 709: percentile  60.8  (124 trades)
  surrogate 710: percentile  98.5  (124 trades)
  surrogate 711: percentile  13.1  (124 trades)
  surrogate 712: percentile  73.8  (124 trades)
  surrogate 713: percentile  98.9  (124 trades)
  surrogate 714: percentile  75.9  (124 trades)
  surrogate 715: percentile  62.3  (124 trades)
  surrogate 716: percentile  10.5  (124 trades)
  surrogate 717: percentile  23.5  (124 trades)
  surrogate 718: percentile  72.2  (124 trades)
  surrogate 719: percentile  94.3  (124 trades)
  surrogate 720: percentile  24.5  (124 trades)
  surrogate 721: percentile  95.3  (124 trades)
  surrogate 722: percentile  96.0  (124 trades)
  surrogate 723: percentile  85.1  (124 trades)
  surrogate 724: percentile  95.7  (124 trades)
  surrogate 725: percentile   5.7  (124 trades)
  surrogate 726: percentile  59.6  (124 trades)
  surrogate 727: percentile  37.2  (124 trades)
  surrogate 728: percentile  27.9  (124 trades)
  surrogate 729: percentile   4.9  (124 trades)
  surrogate 730: percentile   0.2  (124 trades)
  surrogate 731: percentile  85.3  (124 trades)
  surrogate 732: percentile  81.9  (124 trades)
  surrogate 733: percentile  38.9  (124 trades)
  surrogate 734: percentile  87.1  (124 trades)
  surrogate 735: percentile  37.8  (124 trades)
  surrogate 736: percentile  89.1  (124 trades)
  surrogate 737: percentile  13.5  (124 trades)
  surrogate 738: percentile  24.4  (124 trades)
  surrogate 739: percentile  70.3  (124 trades)
  surrogate 740: percentile  60.7  (124 trades)
  surrogate 741: percentile  45.7  (124 trades)
  surrogate 742: percentile  32.1  (124 trades)
  surrogate 743: percentile  21.8  (124 trades)
  surrogate 744: percentile  92.6  (124 trades)
  surrogate 745: percentile  40.7  (124 trades)
  surrogate 746: percentile  84.0  (124 trades)
  surrogate 747: percentile  63.0  (124 trades)
  surrogate 748: percentile   0.8  (124 trades)
  surrogate 749: percentile  49.3  (124 trades)
  surrogate 750: percentile  72.3  (124 trades)
  surrogate 751: percentile   6.5  (124 trades)
  surrogate 752: percentile  90.3  (124 trades)
  surrogate 753: percentile  98.0  (124 trades)
  surrogate 754: percentile   4.2  (124 trades)
  surrogate 755: percentile  81.9  (124 trades)
  surrogate 756: percentile  46.9  (124 trades)
  surrogate 757: percentile  17.9  (124 trades)
  surrogate 758: percentile  61.9  (124 trades)
  surrogate 759: percentile  95.3  (124 trades)
  surrogate 760: percentile  55.8  (124 trades)
  surrogate 761: percentile  48.4  (124 trades)
  surrogate 762: percentile  74.9  (124 trades)
  surrogate 763: percentile  16.0  (124 trades)
  surrogate 764: percentile  49.9  (124 trades)
  surrogate 765: percentile  91.1  (124 trades)
  surrogate 766: percentile  16.3  (124 trades)
  surrogate 767: percentile  10.6  (124 trades)
  surrogate 768: percentile  70.1  (124 trades)
  surrogate 769: percentile  33.7  (124 trades)
  surrogate 770: percentile  80.5  (124 trades)
  surrogate 771: percentile  71.1  (124 trades)
  surrogate 772: percentile  87.7  (124 trades)
  surrogate 773: percentile  48.5  (124 trades)
  surrogate 774: percentile  80.9  (124 trades)
  surrogate 775: percentile  30.7  (124 trades)
  surrogate 776: percentile  58.5  (124 trades)
  surrogate 777: percentile  72.1  (124 trades)
  surrogate 778: percentile  31.1  (124 trades)
  surrogate 779: percentile   2.5  (124 trades)
  surrogate 780: percentile   5.6  (124 trades)
  surrogate 781: percentile  80.4  (124 trades)
  surrogate 782: percentile  38.1  (124 trades)
  surrogate 783: percentile  57.5  (124 trades)
  surrogate 784: percentile   8.2  (124 trades)
  surrogate 785: percentile  24.1  (124 trades)
  surrogate 786: percentile  72.7  (124 trades)
  surrogate 787: percentile  81.9  (124 trades)
  surrogate 788: percentile  55.2  (124 trades)
  surrogate 789: percentile  15.5  (124 trades)
  surrogate 790: percentile  52.6  (124 trades)
  surrogate 791: percentile  79.1  (124 trades)
  surrogate 792: percentile  44.5  (124 trades)
  surrogate 793: percentile  41.9  (124 trades)
  surrogate 794: percentile  91.1  (124 trades)
  surrogate 795: percentile  57.1  (124 trades)
  surrogate 796: percentile   0.1  (124 trades)
  surrogate 797: percentile  94.3  (124 trades)
  surrogate 798: percentile  27.7  (124 trades)
  surrogate 799: percentile  32.4  (124 trades)
  surrogate 800: percentile  55.5  (124 trades)
  surrogate 801: percentile  55.1  (124 trades)
  surrogate 802: percentile  85.1  (124 trades)
  surrogate 803: percentile  55.9  (124 trades)
  surrogate 804: percentile  74.3  (124 trades)
  surrogate 805: percentile  99.6  (124 trades)
  surrogate 806: percentile  30.5  (124 trades)
  surrogate 807: percentile  95.2  (124 trades)
  surrogate 808: percentile  36.1  (124 trades)
  surrogate 809: percentile  37.9  (124 trades)
  surrogate 810: percentile  15.8  (124 trades)
  surrogate 811: percentile  46.5  (124 trades)
  surrogate 812: percentile  24.9  (124 trades)
  surrogate 813: percentile  42.0  (124 trades)
  surrogate 814: percentile  25.6  (124 trades)
  surrogate 815: percentile  25.8  (124 trades)
  surrogate 816: percentile  76.6  (124 trades)
  surrogate 817: percentile  37.4  (124 trades)
  surrogate 818: percentile  21.4  (124 trades)
  surrogate 819: percentile  75.5  (124 trades)
  surrogate 820: percentile  72.3  (124 trades)
  surrogate 821: percentile  68.1  (124 trades)
  surrogate 822: percentile  50.4  (124 trades)
  surrogate 823: percentile  10.6  (124 trades)
  surrogate 824: percentile  66.2  (124 trades)
  surrogate 825: percentile  84.9  (124 trades)
  surrogate 826: percentile  61.0  (124 trades)
  surrogate 827: percentile  55.9  (124 trades)
  surrogate 828: percentile  65.6  (124 trades)
  surrogate 829: percentile  32.8  (124 trades)
  surrogate 830: percentile  68.9  (124 trades)
  surrogate 831: percentile  20.5  (124 trades)
  surrogate 832: percentile  91.3  (124 trades)
  surrogate 833: percentile  29.5  (124 trades)
  surrogate 834: percentile  87.1  (124 trades)
  surrogate 835: percentile  71.1  (124 trades)
  surrogate 836: percentile  27.3  (124 trades)
  surrogate 837: percentile  76.5  (124 trades)
  surrogate 838: percentile  21.7  (124 trades)
  surrogate 839: percentile  74.3  (124 trades)
  surrogate 840: percentile  10.0  (124 trades)
  surrogate 841: percentile   3.9  (124 trades)
  surrogate 842: percentile  54.7  (124 trades)
  surrogate 843: percentile  69.5  (124 trades)
  surrogate 844: percentile  97.9  (124 trades)
  surrogate 845: percentile  92.3  (124 trades)
  surrogate 846: percentile   8.7  (124 trades)
  surrogate 847: percentile  44.9  (124 trades)
  surrogate 848: percentile  88.7  (124 trades)
  surrogate 849: percentile  11.7  (124 trades)
  surrogate 850: percentile  12.8  (124 trades)
  surrogate 851: percentile  21.0  (124 trades)
  surrogate 852: percentile  78.9  (124 trades)
  surrogate 853: percentile  52.7  (124 trades)
  surrogate 854: percentile  35.7  (124 trades)
  surrogate 855: percentile  72.2  (124 trades)
  surrogate 856: percentile  83.8  (124 trades)
  surrogate 857: percentile  32.2  (124 trades)
  surrogate 858: percentile   0.5  (124 trades)
  surrogate 859: percentile  56.6  (124 trades)
  surrogate 860: percentile  88.5  (124 trades)
  surrogate 861: percentile  67.3  (124 trades)
  surrogate 862: percentile  64.9  (124 trades)
  surrogate 863: percentile  20.3  (124 trades)
  surrogate 864: percentile  38.1  (124 trades)
  surrogate 865: percentile  87.9  (124 trades)
  surrogate 866: percentile  91.5  (124 trades)
  surrogate 867: percentile  99.6  (124 trades)
  surrogate 868: percentile  65.2  (124 trades)
  surrogate 869: percentile   8.6  (124 trades)
  surrogate 870: percentile  32.9  (124 trades)
  surrogate 871: percentile  48.3  (124 trades)
  surrogate 872: percentile  18.7  (124 trades)
  surrogate 873: percentile  57.9  (124 trades)
  surrogate 874: percentile  64.0  (124 trades)
  surrogate 875: percentile  31.1  (124 trades)
  surrogate 876: percentile  50.3  (124 trades)
  surrogate 877: percentile  31.3  (124 trades)
  surrogate 878: percentile  91.5  (124 trades)
  surrogate 879: percentile  80.1  (124 trades)
  surrogate 880: percentile  52.8  (124 trades)
  surrogate 881: percentile  66.1  (124 trades)
  surrogate 882: percentile   5.5  (124 trades)
  surrogate 883: percentile  18.9  (124 trades)
  surrogate 884: percentile  32.3  (124 trades)
  surrogate 885: percentile  36.7  (124 trades)
  surrogate 886: percentile  49.7  (124 trades)
  surrogate 887: percentile   4.7  (124 trades)
  surrogate 888: percentile  37.1  (124 trades)
  surrogate 889: percentile  78.0  (124 trades)
  surrogate 890: percentile  70.7  (124 trades)
  surrogate 891: percentile  39.1  (124 trades)
  surrogate 892: percentile  76.0  (124 trades)
  surrogate 893: percentile   3.3  (124 trades)
  surrogate 894: percentile  23.2  (124 trades)
  surrogate 895: percentile  68.9  (124 trades)
  surrogate 896: percentile  68.9  (124 trades)
  surrogate 897: percentile  41.1  (124 trades)
  surrogate 898: percentile  36.0  (124 trades)
  surrogate 899: percentile  15.1  (124 trades)
  surrogate 900: percentile  64.5  (124 trades)
  surrogate 901: percentile  26.7  (124 trades)
  surrogate 902: percentile  92.0  (124 trades)
  surrogate 903: percentile  59.7  (124 trades)
  surrogate 904: percentile  90.1  (124 trades)
  surrogate 905: percentile  38.5  (124 trades)
  surrogate 906: percentile  25.2  (124 trades)
  surrogate 907: percentile   2.3  (124 trades)
  surrogate 908: percentile   4.5  (124 trades)
  surrogate 909: percentile  40.1  (124 trades)
  surrogate 910: percentile  78.4  (124 trades)
  surrogate 911: percentile  24.2  (124 trades)
  surrogate 912: percentile  49.9  (124 trades)
  surrogate 913: percentile  90.6  (124 trades)
  surrogate 914: percentile  25.7  (124 trades)
  surrogate 915: percentile  92.1  (124 trades)
  surrogate 916: percentile   3.5  (124 trades)
  surrogate 917: percentile  47.2  (124 trades)
  surrogate 918: percentile  57.1  (124 trades)
  surrogate 919: percentile   7.9  (124 trades)
  surrogate 920: percentile  37.7  (124 trades)
  surrogate 921: percentile  96.1  (124 trades)
  surrogate 922: percentile   0.4  (124 trades)
  surrogate 923: percentile  41.7  (124 trades)
  surrogate 924: percentile  52.3  (124 trades)
  surrogate 925: percentile  31.5  (124 trades)
  surrogate 926: percentile  26.7  (124 trades)
  surrogate 927: percentile  86.9  (124 trades)
  surrogate 928: percentile  79.5  (124 trades)
  surrogate 929: percentile  97.6  (124 trades)
  surrogate 930: percentile  33.7  (124 trades)
  surrogate 931: percentile  95.3  (124 trades)
  surrogate 932: percentile  52.7  (124 trades)
  surrogate 933: percentile  58.9  (124 trades)
  surrogate 934: percentile   5.1  (124 trades)
  surrogate 935: percentile   8.7  (124 trades)
  surrogate 936: percentile  91.0  (124 trades)
  surrogate 937: percentile  38.8  (124 trades)
  surrogate 938: percentile  13.5  (124 trades)
  surrogate 939: percentile  88.1  (124 trades)
  surrogate 940: percentile  69.4  (124 trades)
  surrogate 941: percentile  53.1  (124 trades)
  surrogate 942: percentile  28.8  (124 trades)
  surrogate 943: percentile  55.2  (124 trades)
  surrogate 944: percentile  91.3  (124 trades)
  surrogate 945: percentile  81.9  (124 trades)
  surrogate 946: percentile  77.9  (124 trades)
  surrogate 947: percentile  64.0  (124 trades)
  surrogate 948: percentile  46.9  (124 trades)
  surrogate 949: percentile  24.1  (124 trades)
  surrogate 950: percentile  72.1  (124 trades)
  surrogate 951: percentile  22.0  (124 trades)
  surrogate 952: percentile  81.1  (124 trades)
  surrogate 953: percentile  93.8  (124 trades)
  surrogate 954: percentile  29.1  (124 trades)
  surrogate 955: percentile  69.9  (124 trades)
  surrogate 956: percentile  69.7  (124 trades)
  surrogate 957: percentile  30.9  (124 trades)
  surrogate 958: percentile  23.7  (124 trades)
  surrogate 959: percentile  63.5  (124 trades)
  surrogate 960: percentile  79.4  (124 trades)
  surrogate 961: percentile  32.5  (124 trades)
  surrogate 962: percentile  60.4  (124 trades)
  surrogate 963: percentile  59.3  (124 trades)
  surrogate 964: percentile   5.1  (124 trades)
  surrogate 965: percentile  95.0  (124 trades)
  surrogate 966: percentile  23.5  (124 trades)
  surrogate 967: percentile  15.3  (124 trades)
  surrogate 968: percentile  13.1  (124 trades)
  surrogate 969: percentile   7.2  (124 trades)
  surrogate 970: percentile  74.7  (124 trades)
  surrogate 971: percentile  67.7  (124 trades)
  surrogate 972: percentile  62.9  (124 trades)
  surrogate 973: percentile   2.1  (124 trades)
  surrogate 974: percentile  68.1  (124 trades)
  surrogate 975: percentile  47.3  (124 trades)
  surrogate 976: percentile  38.5  (124 trades)
  surrogate 977: percentile  29.5  (124 trades)
  surrogate 978: percentile  77.1  (124 trades)
  surrogate 979: percentile  85.1  (124 trades)
  surrogate 980: percentile  26.1  (124 trades)
  surrogate 981: percentile  21.7  (124 trades)
  surrogate 982: percentile  65.1  (124 trades)
  surrogate 983: percentile  46.7  (124 trades)
  surrogate 984: percentile  96.6  (124 trades)
  surrogate 985: percentile  15.1  (124 trades)
  surrogate 986: percentile  82.9  (124 trades)
  surrogate 987: percentile  45.8  (124 trades)
  surrogate 988: percentile  42.1  (124 trades)
  surrogate 989: percentile  30.3  (124 trades)
  surrogate 990: percentile  19.1  (124 trades)
  surrogate 991: percentile   5.5  (124 trades)
  surrogate 992: percentile  28.3  (124 trades)
  surrogate 993: percentile  78.6  (124 trades)
  surrogate 994: percentile  42.2  (124 trades)
  surrogate 995: percentile   4.4  (124 trades)
  surrogate 996: percentile  19.5  (124 trades)
  surrogate 997: percentile  39.1  (124 trades)
  surrogate 998: percentile  82.8  (124 trades)
  surrogate 999: percentile  51.1  (124 trades)
  surrogate 1000: percentile  17.5  (124 trades)

==============================================================================
VERDICT
==============================================================================
surrogates used      : 1000 of 1000
  (a) mean vs 50     : mean 51.73, sd 28.80, z = +1.899   |z| < 1.96 -> PASS
  (b) KS vs U(0,100) : D = 0.0407, p = 0.0712   p >= 0.05 -> PASS
  (c) incompletes    : 0 of 1000 (0.0%)   <= 5% -> PASS

  median 53.27   INFORMATIONAL ONLY — retired as a gate in slice 37;
  it is a coin flip on a correct instrument (EDGE.md 11a, 17c) and decides nothing.

CONTROL: **VALID** — all three pre-declared clauses hold.

The DIRECTED construction (two-sided, next-open fill, rotation
carrying the observed direction sequence) is unbiased on series
where nothing can be timed. THIS SAYS NOTHING ABOUT EDGE.
